,Tweets,cleanedTweets
0,"{""edit_history_tweet_ids"": [""1591120031672598531""], ""id"": ""1591120031672598531"", ""text"": ""@SpeakerPelosi Make no mistake, nobody wants that. We want 2 dollar gas and 1.4% inflation.""}
",       Make no mistake nobody wants that We want  dollar gas and  inflation 
1,"{""edit_history_tweet_ids"": [""1591120031961972738""], ""id"": ""1591120031961972738"", ""text"": ""@Weinsteinlaw US leadership restored on the world stage?  You don't really believe that.  Laughable!""}
",       US leadership restored on the world stage  You dont really believe that  Laughable 
2,"{""edit_history_tweet_ids"": [""1591120033849036800""], ""id"": ""1591120033849036800"", ""text"": ""@VoteGloriaJ Is the clown emoji the extent of your political analysis or are you just trying to exploit your base?""}
",       Is the clown emoji the extent of your political analysis or are you just trying to exploit your base 
3,"{""edit_history_tweet_ids"": [""1591120033698426881""], ""id"": ""1591120033698426881"", ""text"": ""@jongavin021 @dcacb54 @keithccurtis @JohnScriven20 @TWWITE4 @teamphil @johnsureal @XY70884363 @PoliSockPuppet @CPT_Cosmosis @Sean_1356 @Mmmm__echtwaar @mikedobridge @greg_price11 @ChuckGrassley @FoxNews You\u2019re obviously brainwashed by the media. Pres Trump opened intelligent people\u2019s eyes to the massive corruption in our govt. Our taxpayer money goes to the corrupt elite establishment. You\u2019re too stupid to understand that. You support brain dead corrupt politicians like Biden.""}
",                      Youure obviously brainwashed by the media Pres Trump opened intelligent peopleus eyes to the massive corruption in our govt Our taxpayer money goes to the corrupt elite establishment Youure too stup to understand that You support brain dead corrupt politicians like Ben 
4,"{""edit_history_tweet_ids"": [""1591120032578560001""], ""id"": ""1591120032578560001"", ""text"": ""@SenTedCruz so then the border patrol is doing their job and catching record number of immigrants.  Shouldn't you be praising biden then for what he's doing""}
",       so then the border patrol is doing their job and catching record number of immigrants  Shouldnt you be praising ben then for what hes doing 
5,"{""edit_history_tweet_ids"": [""1591120031634563077""], ""id"": ""1591120031634563077"", ""text"": ""Ontario Covid Reality Check\n\nZoom out: Deaths\n\nhttps://t.co/fa95j82R5X\n\n#covid19on #onhealth #onpoli #covid19 #cdnhealth #cdnpoli https://t.co/ZQm1WZIRF0""}
",      Ontario Cov Reality ChecknnZoom out Deathsnn onhealth onpoli cov cdnhealth cdnpoli  
6,"{""edit_history_tweet_ids"": [""1591120032490459137""], ""id"": ""1591120032490459137"", ""text"": ""\u201cTrump Is Furious\u201d After a GOP Pink Flop\u2014And a Strong Night for DeSantis https://t.co/8DjkrAOO2R via @VanityFair""}
",      ucTrump Is Furiousud After a GOP Pink FlopuAnd a Strong Night for DeSantis  via  
7,"{""edit_history_tweet_ids"": [""1591120030321635328""], ""id"": ""1591120030321635328"", ""text"": ""@DollyD2022 Left them standing with their debt in their hands. Played them like fools.""}
",       Left them standing with their debt in their hands Played them like fools 
8,"{""edit_history_tweet_ids"": [""1591120033929121792""], ""id"": ""1591120033929121792"", ""text"": ""@AmoneyResists American in \""I'm a dick\"" shocker""}
",       American in Im a dick shocker 
9,"{""edit_history_tweet_ids"": [""1591120035749453824""], ""id"": ""1591120035749453824"", ""text"": ""@TheLandsNotOurs @benigma2017 @NoLieWithBTC That was Pete Buttigieg's input into the Bipartisan Infrastructure Framework bill. They sell off public lands and infrastructure to pay for projects. They will also privatize roads, so you'll have tolls on many more roads.\n\nhttps://t.co/u4M54eo3GX""}
",         That was Pete Buttigiegs input into the Bipartisan Infrastructure Framework bill They sell off public lands and infrastructure to pay for projects They will also privatize roads so youll have tolls on many more roadsnn 
